 PRES, HGHT, TEMP, DWPT, RELH, MIXR, DRCT, SKNT, THTA, THTE, THTV
 1016.0, 18, 17.4, 13.0, 75, 9.34, 35, 7, 289.2, 315.7, 290.9
 1008.0, 87, 18.2, 12.2, 68, 8.93, 40, 10, 290.7, 316.2, 292.2
 1000.0, 157, 17.8, 11.8, 68, 8.76, 45, 13, 290.9, 316.0, 292.5
 950.0, 595, 15.2, 8.4, 64, 7.32, 10, 25, 292.6, 313.8, 293.9
 939.0, 694, 14.6, 7.6, 63, 7.02, 14, 26, 293.0, 313.4, 294.2
 925.0, 822, 15.4, 6.4, 55, 6.56, 20, 27, 295.1, 314.4, 296.2
 899.0, 1063, 15.2, 3.2, 45, 5.39, 32, 23, 297.3, 313.4, 298.2
 893.0, 1119, 17.0, -3.0, 25, 3.45, 35, 22, 299.7, 310.4, 300.3
 878.0, 1263, 17.4, -4.6, 22, 3.11, 42, 19, 301.6, 311.3, 302.1
 865.0, 1390, 20.2, -21.8, 5, 0.78, 48, 17, 305.8, 308.4, 305.9
 850.0, 1540, 20.6, -19.4, 5, 0.97, 55, 14, 307.7, 311.1, 307.9
 825.0, 1795, 18.5, -17.1, 8, 1.22, 70, 10, 308.1, 312.3, 308.4
 805.0, 2005, 16.8, -15.2, 10, 1.47, 63, 11, 308.5, 313.4, 308.8
 768.0, 2404, 15.4, -19.8, 7, 1.04, 50, 13, 311.1, 314.8, 311.3
 748.0, 2627, 14.6, -22.4, 6, 0.85, 54, 12, 312.6, 315.6, 312.8
 700.0, 3182, 10.2, -20.8, 9, 1.05, 65, 9, 313.8, 317.4, 313.9
 690.0, 3300, 9.1, -20.1, 11, 1.13, 65, 9, 313.8, 317.8, 314.0
 665.0, 3601, 6.3, -18.4, 15, 1.36, 55, 9, 314.0, 318.7, 314.3
 641.0, 3902, 3.5, -16.7, 21, 1.63, 25, 8, 314.1, 319.7, 314.5
 640.0, 3915, 3.4, -16.6, 22, 1.64, 25, 8, 314.2, 319.8, 314.5
 500.0, 5860, -9.9, -36.9, 9, 0.32, 35, 28, 320.9, 322.1, 321.0
 488.0, 6046, -11.5, -37.5, 10, 0.31, 35, 27, 321.2, 322.4, 321.2
 472.0, 6299, -12.4, -40.1, 8, 0.25, 35, 26, 323.2, 324.1, 323.2
 436.0, 6899, -14.5, -46.3, 5, 0.14, 20, 38, 327.9, 328.5, 327.9
 419.0, 7201, -15.5, -49.4, 4, 0.10, 20, 26, 330.3, 330.7, 330.3
 410.0, 7365, -16.1, -51.1, 3, 0.09, 12, 19, 331.6, 332.0, 331.6
 403.0, 7494, -16.8, -51.1, 3, 0.09, 5, 14, 332.4, 332.7, 332.4
 400.0, 7550, -17.1, -51.1, 3, 0.09, 355, 13, 332.7, 333.1, 332.7
 387.0, 7790, -18.9, -52.0, 4, 0.08, 320, 9, 333.4, 333.8, 333.4
 372.0, 8077, -21.1, -53.1, 4, 0.07, 225, 2, 334.3, 334.6, 334.3
 357.0, 8376, -23.4, -54.3, 4, 0.07, 170, 2, 335.2, 335.5, 335.2
 342.0, 8688, -25.8, -55.5, 4, 0.06, 85, 5, 336.1, 336.3, 336.1
 315.0, 9286, -30.4, -57.7, 5, 0.05, 135, 13, 337.7, 337.9, 337.7
 302.0, 9592, -32.7, -58.9, 6, 0.04, 125, 12, 338.5, 338.7, 338.5
 300.0, 9640, -33.1, -59.1, 6, 0.04, 130, 12, 338.6, 338.8, 338.6
 256.0, 10739, -41.5, -65.5, 6, 0.02, 178, 26, 341.9, 342.0, 341.9
 250.0, 10900, -42.7, -65.7, 6, 0.02, 185, 28, 342.4, 342.6, 342.4
 243.0, 11089, -43.5, -67.5, 5, 0.02, 200, 27, 344.0, 344.1, 344.0
 232.0, 11398, -44.9, -70.4, 4, 0.01, 225, 21, 346.5, 346.6, 346.5
 215.0, 11906, -47.1, -75.1, 3, 0.01, 288, 15, 350.7, 350.7, 350.7
 212.0, 11998, -47.7, -75.1, 3, 0.01, 300, 14, 351.2, 351.2, 351.2
 200.0, 12380, -50.1, -75.1, 4, 0.01, 280, 11, 353.3, 353.3, 353.3
 193.0, 12605, -51.8, -76.0, 4, 0.01, 275, 12, 354.2, 354.2, 354.2
 160.0, 13792, -60.6, -81.0, 5, 0.00, 275, 17, 358.7, 358.7, 358.7
 152.0, 14116, -63.1, -82.3, 6, 0.00, 260, 10, 359.9, 359.9, 359.9
 150.0, 14200, -63.7, -82.7, 6, 0.00, 245, 9, 360.1, 360.2, 360.1
 145.0, 14400, -64.8, -83.7, 6, 0.00, 215, 9, 361.6, 361.7, 361.6
 125.0, 15275, -69.9, -88.0, 6, 0.00, 225, 24, 368.2, 368.2, 368.2
 113.0, 15870, -73.3, -90.9, 5, 0.00, 235, 10, 372.5, 372.5, 372.5
 107.0, 16191, -75.2, -92.5, 5, 0.00, 190, 12, 374.9, 374.9, 374.9
 100.0, 16590, -77.5, -94.5, 5, 0.00, 230, 14, 377.7, 377.7, 377.7
 96.0, 16823, -78.6, -95.6, 5, 0.00, 235, 11, 380.0, 380.0, 380.0
 95.0, 16883, -78.9, -95.9, 5, 0.00, 250, 9, 380.6, 380.6, 380.6
 92.0, 17065, -79.2, -95.7, 5, 0.00, 65, 2, 383.5, 383.5, 383.5
 87.0, 17382, -79.8, -95.5, 6, 0.00, 150, 14, 388.6, 388.6, 388.6
 82.0, 17717, -80.3, -95.2, 7, 0.00, 210, 23, 394.0, 394.0, 394.0
 78.0, 18000, -80.8, -94.9, 8, 0.00, 240, 23, 398.7, 398.7, 398.7
 77.3, 18051, -80.9, -94.9, 8, 0.00, 239, 22, 399.5, 399.5, 399.5
 70.0, 18610, -81.1, -95.1, 8, 0.00, 225, 10, 410.6, 410.6, 410.6
 67.0, 18859, -78.3, -93.5, 7, 0.00, 210, 4, 421.8, 421.8, 421.8
 64.9, 19040, -76.3, -92.3, 7, 0.00, 197, 8, 430.0, 430.0, 430.0
 63.0, 19213, -75.7, -92.0, 6, 0.00, 185, 12, 435.1, 435.1, 435.1
 57.0, 19795, -73.6, -90.8, 6, 0.00, 185, 11, 452.5, 452.5, 452.5
 54.0, 20110, -72.4, -90.2, 5, 0.00, 265, 8, 462.2, 462.2, 462.2
 52.7, 20251, -71.9, -89.9, 5, 0.00, 265, 6, 466.6, 466.6, 466.6
 51.0, 20444, -72.4, -90.4, 5, 0.00, 265, 4, 469.8, 469.8, 469.8
 50.0, 20560, -72.7, -90.7, 5, 0.00, 190, 5, 471.8, 471.8, 471.8
 46.0, 21053, -72.0, -91.7, 4, 0.00, 60, 7, 484.8, 484.8, 484.8
 41.1, 21718, -71.1, -93.1, 3, 0.00, 100, 11, 502.9, 502.9, 502.9
 40.0, 21881, -70.3, -93.0, 2, 0.00, 110, 12, 508.8, 508.8, 508.8
 38.0, 22189, -68.9, -92.7, 2, 0.00, 175, 8, 520.0, 520.0, 520.0
 36.0, 22513, -67.3, -92.5, 2, 0.00, 110, 9, 532.0, 532.1, 532.0
 34.7, 22734, -66.3, -92.3, 2, 0.00, 120, 7, 540.4, 540.4, 540.4
 34.0, 22859, -65.5, -92.2, 1, 0.00, 125, 6, 545.7, 545.7, 545.7
 33.0, 23043, -64.3, -92.0, 1, 0.00, 70, 5, 553.5, 553.5, 553.5
 31.0, 23428, -61.8, -91.7, 1, 0.00, 55, 6, 570.2, 570.2, 570.2
 30.0, 23630, -60.5, -91.5, 1, 0.00, 90, 1, 579.1, 579.2, 579.1


